Feature,Importance,Std
Age_Category,0.1172071172532219,0.0026024015163223315
General_Health,0.05713157867982702,0.0013184384676244846
Sex,0.019249339083868323,0.0005997759665264147
Diabetes,0.007743182741768673,0.0002756571739613056
Smoking_History,0.005793618701354586,0.0003190620557278085
Arthritis,0.0023941256070422524,0.0004019303630533387
Checkup,0.002346456311586842,0.00031301788900001603
Depression,0.0012349544122818301,0.00014849521912103572
Alcohol_Consumption_log,0.0010624092482693914,0.0001713174709661944
Other_Cancer,0.0004824911350121419,0.0001443688505289641
Skin_Cancer,0.0003669364821640486,9.873916805696772e-05
Height_(cm),0.00026822877923465827,9.477857545489143e-05
FriedPotato_Consumption_log,0.0002505479336995187,0.00010506660464262644
Weight_(kg)_log,0.0002430308859023733,8.473172676007248e-05
BMI_calculated,0.0002106053760431159,0.00010943704470218969
Fruit_Consumption_log,0.0001617529911819182,8.310674931359026e-05
Green_Vegetables_Consumption_log,8.402071638550224e-05,5.954383999128321e-05
BMI_log,6.496394308330711e-05,7.041441128480273e-05
Exercise,-1.3191186281180656e-06,3.582074293399199e-05
