iter	Logloss
0	0.6233554935
1	0.565958427
2	0.5184459674
3	0.4784757398
4	0.4445827006
5	0.415715981
6	0.3912183285
7	0.3700242793
8	0.3514452462
9	0.3352206398
10	0.3214405393
11	0.3093332579
12	0.2987942061
13	0.2894924064
14	0.2815294729
15	0.27441037
16	0.267933081
17	0.2622349446
18	0.2571876362
19	0.2528467275
20	0.2489987779
21	0.2455623837
22	0.2425825863
23	0.24020427
24	0.2378151573
25	0.2356221275
26	0.233855362
27	0.2322340059
28	0.2309055124
29	0.2295763337
30	0.2284561577
31	0.2275542395
32	0.2267488476
33	0.2261076085
34	0.2252961308
35	0.2246108105
36	0.2238992671
37	0.2233895104
38	0.2228951451
39	0.2225330073
40	0.2222671624
41	0.2218676378
42	0.2215796358
43	0.2213666611
44	0.2211571696
45	0.2208390433
46	0.2205833653
47	0.2202871709
48	0.2200968016
49	0.2199647718
50	0.2197978934
51	0.2196600629
52	0.2194719129
53	0.2193116297
54	0.2192371351
55	0.219107246
56	0.2189798839
57	0.2188708682
58	0.2187729994
59	0.218668802
60	0.2185810519
61	0.2184519229
62	0.2183448631
63	0.2182468579
64	0.2181703053
65	0.218079054
66	0.2180091367
67	0.2179185193
68	0.2178508872
69	0.2177762673
70	0.2177085522
71	0.2176074019
72	0.2175498423
73	0.217515006
74	0.2174573846
75	0.2173722635
76	0.2173233361
77	0.2172622109
78	0.2171864937
79	0.2171437648
80	0.2170930374
81	0.2170124823
82	0.2169531098
83	0.2169194629
84	0.2168736339
85	0.216846158
86	0.2167965774
87	0.2167456953
88	0.2167081463
89	0.2166791257
90	0.216646882
91	0.2166022789
92	0.2165559967
93	0.2165027259
94	0.2164490747
95	0.2164020563
96	0.2163835633
97	0.216352309
98	0.2163332787
99	0.2162605519
