iter	Passed	Remaining
0	173	17148
1	202	9901
2	233	7539
3	262	6306
4	290	5518
5	326	5113
6	363	4828
7	387	4460
8	427	4318
9	464	4184
10	499	4041
11	527	3869
12	571	3825
13	610	3750
14	640	3632
15	668	3511
16	698	3412
17	728	3318
18	756	3226
19	787	3150
20	815	3069
21	850	3015
22	882	2954
23	911	2885
24	940	2820
25	969	2757
26	1000	2705
27	1029	2648
28	1058	2590
29	1085	2532
30	1116	2485
31	1147	2438
32	1176	2388
33	1205	2339
34	1234	2292
35	1265	2249
36	1291	2199
37	1320	2154
38	1349	2111
39	1379	2068
40	1407	2026
41	1439	1988
42	1468	1946
43	1495	1903
44	1522	1860
45	1553	1823
46	1582	1784
47	1611	1745
48	1645	1712
49	1673	1673
50	1703	1636
51	1731	1598
52	1760	1560
53	1791	1526
54	1819	1488
55	1850	1454
56	1881	1419
57	1914	1386
58	1942	1349
59	1972	1315
60	2003	1280
61	2034	1246
62	2060	1210
63	2088	1174
64	2119	1141
65	2148	1106
66	2175	1071
67	2204	1037
68	2233	1003
69	2261	969
70	2288	934
71	2317	901
72	2345	867
73	2373	834
74	2404	801
75	2433	768
76	2462	735
77	2491	702
78	2517	669
79	2550	637
80	2581	605
81	2610	573
82	2639	540
83	2669	508
84	2696	475
85	2722	443
86	2749	410
87	2777	378
88	2805	346
89	2837	315
90	2865	283
91	2894	251
92	2922	219
93	2948	188
94	2980	156
95	3009	125
96	3036	93
97	3064	62
98	3094	31
99	3123	0
